species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-92.079749,33.133727
Lithobates catesbeianus,-91.809161,37.403564
Lithobates catesbeianus,-92.16444,33.063428
Lithobates catesbeianus,-95.300853,30.030985
Lithobates catesbeianus,-76.573404,41.558908
Lithobates catesbeianus,-118.802192,36.1544
Lithobates catesbeianus,-119.245895,35.305083
Lithobates catesbeianus,-83.956227,34.529736
Lithobates catesbeianus,-99.606545,32.209808
Lithobates catesbeianus,-83.671511,42.311886
Lithobates catesbeianus,-82.740626,29.682673
Lithobates catesbeianus,-81.664622,41.430226
Lithobates catesbeianus,-77.588089,36.583481
Lithobates catesbeianus,-93.944295,30.586163
Lithobates catesbeianus,-95.594447,29.377558
Lithobates catesbeianus,-121.817995,38.017892
Lithobates catesbeianus,-120.521462,38.048808
Lithobates catesbeianus,-88.098311,42.317883
Lithobates catesbeianus,-72.891504,40.898464
Lithobates catesbeianus,-82.324203,29.643633
Lithobates catesbeianus,-94.182367,30.996714
Lithobates catesbeianus,-76.758202,42.443508
Lithobates catesbeianus,-113.5985,37.080914
Lithobates catesbeianus,-122.130983,37.815284
Lithobates catesbeianus,-98.994894,38.81261
Lithobates catesbeianus,-90.690208,35.7869
Lithobates catesbeianus,-81.767503,32.385113
Lithobates catesbeianus,-86.169306,37.987344
Lithobates catesbeianus,-78.416436,37.306558
Lithobates catesbeianus,-94.801761,31.392709
Lithobates catesbeianus,-83.263576,41.642576
Lithobates catesbeianus,-83.874456,35.934617
Lithobates catesbeianus,-97.049842,33.255592
Lithobates catesbeianus,-75.859722,39.247125
Lithobates catesbeianus,-121.930844,47.877661
Lithobates catesbeianus,-95.564158,29.701792
Lithobates catesbeianus,-95.537091,30.626548
Lithobates catesbeianus,-83.66498,41.555836
Lithobates catesbeianus,-91.327553,32.391893
Lithobates catesbeianus,-76.557427,37.47145
Lithobates catesbeianus,-120.787348,42.95576
Lithobates catesbeianus,-79.115289,35.914463
Lithobates catesbeianus,-87.092622,41.621097
Lithobates catesbeianus,-75.88655,36.261192
Lithobates catesbeianus,-80.961688,35.357321
Lithobates catesbeianus,-75.991675,40.563738
Lithobates catesbeianus,-79.195984,39.649207
Lithobates catesbeianus,-96.575114,29.415694
Lithobates catesbeianus,-94.583356,32.706583
Lithobates catesbeianus,-87.937644,43.175969
Lithobates catesbeianus,-97.401252,35.184822
Lithobates catesbeianus,-78.909912,36.062711
Lithobates catesbeianus,-91.367418,39.908521
