species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-81.56803,41.381487
Lithobates catesbeianus,-76.016747,37.269666
Lithobates catesbeianus,-81.767503,32.385113
Lithobates catesbeianus,-70.537294,41.622694
Lithobates catesbeianus,-86.169306,37.987344
Lithobates catesbeianus,-78.416436,37.306558
Lithobates catesbeianus,-94.801761,31.392709
Lithobates catesbeianus,-83.263576,41.642576
Lithobates catesbeianus,-83.874456,35.934617
Lithobates catesbeianus,-75.859722,39.247125
Lithobates catesbeianus,-95.335678,32.355263
Lithobates catesbeianus,-121.930844,47.877661
Lithobates catesbeianus,-95.564158,29.701792
Lithobates catesbeianus,-95.537091,30.626548
Lithobates catesbeianus,-83.66498,41.555836
Lithobates catesbeianus,-91.327553,32.391893
Lithobates catesbeianus,-96.579752,32.539537
Lithobates catesbeianus,-76.557427,37.47145
Lithobates catesbeianus,-79.115289,35.914463
Lithobates catesbeianus,-80.961055,35.356901
Lithobates catesbeianus,-87.092622,41.621097
Lithobates catesbeianus,-75.237147,44.470655
Lithobates catesbeianus,-75.991675,40.563738
Lithobates catesbeianus,-79.195984,39.649207
Lithobates catesbeianus,-94.583356,32.706583
Lithobates catesbeianus,-87.937644,43.175969
Lithobates catesbeianus,-78.909912,36.062711
Lithobates catesbeianus,-91.367418,39.908521
Lithobates catesbeianus,-80.880091,34.19889
Lithobates catesbeianus,-65.762518,18.340001
Lithobates catesbeianus,-81.893172,29.658634
Lithobates catesbeianus,-79.397445,40.285978
Lithobates catesbeianus,-64.705506,44.250195
Lithobates catesbeianus,-96.803505,28.307278
Lithobates catesbeianus,-64.680473,44.307522
Lithobates catesbeianus,-95.268567,29.060717
Lithobates catesbeianus,-89.224882,36.567942
Lithobates catesbeianus,-68.402197,18.659682
Lithobates catesbeianus,-158.036789,21.525975
Lithobates catesbeianus,-84.798088,33.531937
Lithobates catesbeianus,-78.018303,39.331708
Lithobates catesbeianus,-72.741771,41.782274
Lithobates catesbeianus,-98.162125,33.201663
Lithobates catesbeianus,-83.863926,35.988217
Lithobates catesbeianus,-77.575564,37.389089
Lithobates catesbeianus,-124.083069,40.784058
Lithobates catesbeianus,-89.508768,36.382482
Lithobates catesbeianus,-99.901813,31.968599
Lithobates catesbeianus,-94.706989,31.442597
Lithobates catesbeianus,-83.62862,40.565064
Lithobates catesbeianus,-122.181975,47.8741
Lithobates catesbeianus,-91.758842,42.125514
Lithobates catesbeianus,-92.235706,38.588772
Lithobates catesbeianus,-85.765474,41.986124
Lithobates catesbeianus,-81.10481,32.147211
Lithobates catesbeianus,-93.411233,35.97487
Lithobates catesbeianus,-105.24532,40.01338
Lithobates catesbeianus,-75.031921,40.18056
Lithobates catesbeianus,-85.906686,37.179135
Lithobates catesbeianus,-95.266765,29.682426
Lithobates catesbeianus,-100.153512,41.261921
Lithobates catesbeianus,-84.144638,34.002879
Lithobates catesbeianus,-95.422242,31.883325
Lithobates catesbeianus,-123.140782,49.304798
Lithobates catesbeianus,-96.736116,29.094891
Lithobates catesbeianus,-123.646491,44.246005
Lithobates catesbeianus,-85.424794,32.612096
Lithobates catesbeianus,-118.394522,34.210529
Lithobates catesbeianus,-110.714943,31.486689
Lithobates catesbeianus,-122.619877,43.863561
